Station,", Bedrock Type ()",", Intact Strength ()",", Bedrock (Weathering)",", Spacing (of Defects)",", Additional Rock (Description)",", Notes ()",", References ()",", Bulk Density ((t/m3))",", Bulk Density (Notes)",", UCS (Mpa)",", UCS (Notes)",", Vs (m/s) ()",", Vs Notes ()",", Depth to Bedrock (from sensor level)",", Depth to Bedrock (from sensor level - Notes)"
001A,Basalt,strong,,,,,"White, P.J., & Perrin, N.D. (2003)",,,,,,,12,"c. 12 m, based on borehole data from site on Hunt St., 200 m NNW of recorder site"
002A,Greywacke,very strong,,,(Brunner Coal Measures)- effective bedrock,40,"Bowen, F.E. (1964)",,,,,,,40,"c 40 m, 2 m to effective bedrock?"
003A,Limestone,strong,,,,,Nathan. S. (1976),,,,,,,0,Uncertain value
007A,Andesite,strong,,,Beesons Island volcanics,,"Schofield, J.C. (1967)",,,,,,,120,Effective bedrock likely to be < 100 m
007B,Andesite,strong,,,Beesons Island volcanics,,"Schofield, J.C. (1967)",,,,,,,120,Effective bedrock likely to be < 100 m
012A,Siltstone,weak,,,Waitemata Group siltstone/ sandstone,weak rock,"Kermode, L.O. (1966)",,,,,,,,"Unknown, 7.5 m in freefield"
012B,Siltstone,weak,,,Waitemata siltstone/sandstone,weak rock,"Kermode, L.O. (1966)",,,,,,,0,"c. 0 m, 7.5 m in freefield"
013A,Andesite,moderately strong,,,Ruapehu Andesite - blocky jointed (Waimarino lahar) lava flow,,"Grindley, G.W. (1960)",,,,,,,5,5 to 10 m
014A,Siltstone,moderately strong,,,Nukumaruan Siltstone / limestone,,"Barker, P.R. (1994); Kingma, J.T. (1970)",,,,,,,200,
015A,Limestone,moderately weak,,,Nukumaruan Limestone ,moderately weak to moderately strong,"Kingma, J.T. (1970); Benites, R.A., & Haines, A.J. (1996)",,,,,,,0,
016A,Siltstone,weak,,,Miocene siltstone ,hard soil or weak rock,"Kingma, J.T. (1964)",,,,,,,10,
017A,Siltstone,weak,,,weak (soft) rock,Same as sites 018A and 218A,"Barker, P.R. (1994); Kingma, J.T. (1964); Pender, M., & Larkin, T. (1994)",,,,,,,40,
017B,Siltstone,weak,,,weak (soft) rock,Same as sites 018A and 218A,"Barker, P.R. (1994); Kingma, J.T. (1964); Pender, M., & Larkin, T. (1994)",,,,,,,40,
018A,Siltstone,very weak,unweathered ,,"massive, sandy to muddy light-blue grey siltstone","Unpublished GNS data, incl three drillholes at the site to a maximum depth of 24.4m","Barker, P.R. (1994); Kingma, J.T. (1964); Pender, M., & Larkin, T. (1994)",2.1,2.1 - 2.15 (est),3,1 to 5 (est),,,40,
019B,Siltstone,moderately strong,,,siltstone / pumice breccia,Huka formation,"Grindley, G.W. (1960)",,,,,,,30,"10 - 50 m, may be effective bedrock at 50 m, possibly less"
019C,Siltstone,moderately strong,,,siltstone / pumice breccia,Huka formation,"Grindley, G.W. (1960)",,,,,,,30,"10 - 50 m, may be effective bedrock at 50 m, possibly less"
019D,Siltstone,moderately strong,,,siltstone / pumice breccia,Huka formation,"Grindley, G.W. (1960)",,,,,,,30,"10 - 50 m, may be effective bedrock at 50 m, possibly less"
020A,Sandstone,weak,,,Tertiary sandstone/siltstone,,"Grindley, G.W. (1960)",,,4,,,,0,
020B,Sandstone,weak,,,Tertiary sandstone/siltstone,,"Grindley, G.W. (1960)",,,4,,,,7,5 to 10 m
021A,Rhyolite,moderately weak ,,,volcanic breccia,moderately weak to moderately strong,"Barker, P.R. (1995); Healy, J. et al. (1964); Pender, M. (1995)",,,,,,,200,Approximate value
022A,Ignimbrite,moderately strong,,,water laid pumice tuffs & breccias with interbedded freshwater siltstones & sandstones (Ohakuri Grp),,"Healy, J. et al. (1964)",,,,,,,0,
023A,Sandstone,weak ,,,weak to moderately strong - volcanic agglomerate,"Lower Pouakai (50-100m thick over Tertiary rock). The agglomerate is volcanic debris including cobbles and large blocks in sand matrix, partly hydrothermally altered & well cemented with both quartz and calcite. Agglomerate has sufficient bearing strength for power house and so can be considered bedrock","Hay, R.F. (1967)",,,,,,,0,
024A,Sandstone,weak,,,soft rock or stiff / hard soil - Pliocene sandstone / siltstone," the agglomerate is volcanic debris including cobbles and large blocks in sand matrix, partly hydrothermally altered & well cemented with both quartz and calcite. Borehole data 300m from site","Hay, R.F. (1967)",,,5,,,,120,"120 ? m, may be effective bedrock at 10 m"
025A,Mudstone,weak,,,Tertiary mudstone and sandstone,,"Barker, P.R. (1997); Lensen, G.J. (1959)",,,,,,,12,Maximum value
027A,Limestone,moderately weak,,,moderately weak to moderately strong - siltstone / limestone,"most likely blue siltstone under alluvial deposits, some limestone may be present","Barker, P.R. (1994); Kingma, J.T. (1970)",,,,,,,200,"c. 200 m, probably effective bedrock at 20 m"
027C,Limestone,moderately weak,,,moderately weak to moderately strong - siltstone / limestone,"most likely blue siltstone under alluvial deposits, some limestone may be present","Barker, P.R. (1994); Kingma, J.T. (1970)",,,,,,,200,"c. 200 m, probably effective bedrock at 20 m"
027D,Limestone,moderately weak,,,moderately weak to moderately strong - siltstone / limestone,"most likely blue siltstone under alluvial deposits, some limestone may be present","Barker, P.R. (1994); Kingma, J.T. (1970)",,,,,,,200,"c. 200 m, probably effective bedrock at 20 m"
027E,Limestone,moderately weak,,,limestone ? or mudstone ?,moderately weak to moderately strong,"Kingma, J.T. (1970)",,,,,,,20,Maximum value
027F,Limestone,moderately weak,,,limestone ? or mudstone ?,moderately weak to moderately strong,"Kingma, J.T. (1970)",,,,,,,20,Maximum value
027G,Limestone,moderately weak,,,limestone ? or mudstone ?,moderately weak to moderately strong,"Kingma, J.T. (1970)",,,,,,,20,Maximum value
028A,Sandstone,weak,,,Lower Pleistocene sandstone / conglomerate,,"Healy, J. et al. (1964)",,,,,,,75,50 - 100 m
029A,Limestone,weak,,,Te Aute,,"Dellow, G.D. et al. (2003); Barker, P.R. (1997)",,,,,,,1000,Approximate value
030A,Sandstone,weak,,,Lower Pleistocene sandstone / conglomerate,,"Barker, P.R. (1995); Pender, M. (1995); Healy, J. et al. (1964)",,,,,,,75,50 - 100 m
031A,Siltstone,weak,unweathered  ,,Tertiary grey siltstone,Taken to be same as Post Office site,"Lensen, G.J. (1959)",,,,,,,35,Approximate value
032A,Mudstone,moderately strong,,,Tertiary mudstone & siltstone,Waipawa Black shale,"Kingma, J.T. (1962); Kingma, J.T. (1971)",,,,,,,10,
033A,Siltstone,weak,,,siltstone/sandstone," stiff soil / weak rock-Lower Pleistocene ","Lillie, A.R. (1953)",,,,,,,10,"10 to 20 m, to effective bedrock, Greywacke basement is 2000 m"
033B,Siltstone,weak,,,siltstone/sandstone," stiff soil / weak rock-Lower Pleistocene ","Lillie, A.R. (1953)",,,,,,,10,"10 to 20 m, to effective bedrock, Greywacke basement is 2000 m"
033C,Siltstone,weak,,,siltstone / sandstone," stiff soil / weak rock-Lower Pleistocene ","Lillie, A.R. (1953)",,,,,,,10,"10 to 20 m, to effective bedrock, Greywacke basement is 2000 m"
033D,Siltstone,weak,,,siltstone / sandstone," stiff soil / weak rock-Lower Pleistocene ","Lillie, A.R. (1953)",,,,,,,10,"10 to 20 m, to effective bedrock, Greywacke basement is 2000 m"
034A,Mudstone,weak,,,"Weber Formation, Oligocene",stiff soil/weak rock,"Kingma, J.T. (1962)",,,,,,,20,Approximate value
035A,Mudstone,weak,,,"Weber Formation, Oligocene",stiff soil / weak rock,"Kingma, J.T. (1962)",,,,,500,>,20,Approximate value
038A,Mudstone,moderately strong,,,mudstone/sandstone,Eocene-Miocene (300m thick). Cretaceous and older greywacke below approx 300m,"Johnston, M.R. (1975)",,,,,,,10,Maximum value
039A,Mudstone,moderately strong,slightly weathered,,"Tertiary calcareous sandy mudstone,""Papa""",slightly - moderately weathered,"Kingma, J.T. (1967)",,,,,,,100,Possibly effective bedrock at c. 50 m
039C,Mudstone,moderately strong,slightly weathered,,"Tertiary calcareous sandy mudstone,""Papa""",slightly - moderately weathered,"Kingma, J.T. (1967)",,,,,,,100,Possibly effective bedrock at c. 50 m
039D,Mudstone,moderately strong,slightly weathered,,"Tertiary calcareous sandy mudstone,""Papa""",slightly - moderately weathered,"Kingma, J.T. (1967)",,,,,,,100,Possibly effective bedrock at c. 50 m
039E,Mudstone,moderately strong,slightly weathered,,"Tertiary calcareous sandy mudstone,""Papa""",slightly - moderately weathered,"Kingma, J.T. (1967)",,,,,,,100,Possibly effective bedrock at c. 50 m
040A,Greywacke,strong,,,Cretaceous,,"Kingma, J.T. (1967)",,,,,,,7,"5 to 10 m, this site is close to toe of steep slope, so may be nearly on rock"
041A,Sandstone,weak,,,sandstone / siltstone,"Not a stiff site, but not soft either.","Kingma, J.T. (1967)",,,,,,,15,Maximum value
042A,Greywacke,strong,unweathered ,,sandstone and argillite - strong to very strong,Crush zone 61.5 - 64.5m depth. Shattered? 80-87m.,"Freund, R. (1971); Gregg, D.R. (1964); Log of Hanmer Development Scheme thermal water supply borehole No 6. (1975)",,,,,,,57,
043A,Basalt,strong,slightly weathered,,volcanic (basalt?),strong to very strong - probable columnar jointing,"Benson, W.N. (1968)",,,,,,,10,
043B,Basalt,strong,slightly weathered,,volcanic (basalt?),strong to very strong - probable columnar jointing,"Benson, W.N. (1968)",,,,,,,10,
044A,Basalt,very strong,slightly weathered,,,,"Barker, P.R. (1996); Benson, W.N. (1968)",,,,,,,25,
045A,Siltstone,weak,,,clay-bound gravels. - Surficial materials slightly weathered,Port Hills Gravel,"Johnston, M.R. (1979)",,,,,,,52,
046A,Siltstone,weak,,,Pliocene conglomerate,site on 1850 shoreline,"Johnston, M.R. (1979)",,,,,,,30,Approximate value
047A,Siltstone,weak,,,Wakata siltstone,,"Johnston, M.R. (1979)",,,,,,,3,Approximate value
048A,Greywacke,strong,,,Torlesse Supergroup,,"Brown, L.J. (1981)",,,,,,,1000,Effective bedrock 70 m?
048B,Greywacke,strong,,,Torlesse Supergroup,,"Brown, L.J. (1981)",,,,,,,1000,Effective bedrock 70 m?
048C,Greywacke,strong,,,Torlesse Supergroup,,"Brown, L.J. (1981)",,,,,,,1000,Effective bedrock 70 m?
048D,Greywacke,strong,,,Torlesse Supergroup,,"Brown, L.J. (1981)",,,,,,,1000,Effective bedrock 70 m?
049A,Schist,strong,slightly weathered,,garnet schist,Rock is strongly foliated (anisotropic).,"Warren, G. (1967)",,,,,,,20,Approximate value
050A,Granite,very strong,,,,,"Beck, A.C. (1964)",,,,,,,600,c. 300 m to effective bedrock
051A,Siltstone,strong,slightly weathered,,siltstone (Tertiary),Poor gound conditions on unconsolidated alluvium,"Nathan, S. (1976)",,,,,,,105,Minimum value
051B,Siltstone,strong,slightly weathered,,siltstone (Tertiary),Poor gound conditions on unconsolidated alluvium,"Nathan, S. (1976)",,,,,,,105,Minimum value
051C,Siltstone,strong,slightly weathered,,siltstone (Tertiary),Poor gound conditions on unconsolidated alluvium,"Nathan, S. (1976)",,,,,,,105,Minimum value
051D,Siltstone,strong,slightly weathered,,siltstone (Tertiary),Poor gound conditions on unconsolidated alluvium,"Nathan, S. (1976)",,,,,,,105,Minimum value
052A,Sandstone,strong,slightly weathered,,extremely indurated sandstone & mudstone,outwash gravel & sand ,"Bowen, F.E. (1964)",,,,,,,30,
053A,Greywacke,very strong,,,,,"Bowen, F.E. (1964)",,,,,,,20,Approximate value
054A,Greywacke,strong,,,volcanics / schist,,"Mutch, A.R., & McKellar, I.C. (1964)",,,,,,,200,Minimum value
055A,Mudstone,strong,,,mudstone / limestone,,Nathan. S. (1976),,,,,,,40,Approximate value
056A,Siltstone,weak,,,,,"Johnston, M.R. (1979)",,,,,,,5,
057A,Siltstone,strong,,,massive siltstone,,"NZ Soil Bureau Job File 27(Held at GNS); Warren, G. (1967)",,,,,,,100,
057B,Siltstone,strong,,,massive siltstone,,"Warren, G. (1967)",,,,,,,100,
057C,Siltstone,strong,,,massive siltstone,,"NZ Soil Bureau Job File 27(Held at GNS); Warren, G. (1967)",,,,,,,100,
058A,Sandstone,strong,,,sandstone (Greenland Group),,"Bowen, F.E. (1964)",,,,,,,20,
059A,Schist,strong,slightly weathered,,schist / quartzite,"Moderately weathered to slightly weathered- blocky jointed, foliated. Penstocks destroyed by washout and debris flow adjacent to instrument on 16 Dec 1981.",Grindley. G.W. (1980),,,,,,,0,
060A,Siltstone,weak,,,,,"Gregg, D.R. (1964)",,,,,,,15,
060B,Siltstone,weak,,,,,"Gregg, D.R. (1964)",,,,,,,15,
060C,Siltstone,weak,,,,,"Gregg, D.R. (1964)",,,,,,,15,
061A,Granite,strong,,,,,"Warren, G. (1967)",,,,,,,0,
061B,Granite,strong,,,,,"Warren, G. (1967)",,,,,,,10,Minimum value
061C,Granite,strong,,,,,"Warren, G. (1967)",,,,,,,0,
062A,Schist,strong,,,garnet schist,May be granite or greywacke deeper than 150m under site.,"Warren, G. (1967)",,,,,,,150,Approximate value
063A,Greywacke,strong,highly weathered,,weak? to strong,,"Gair, H.S. (1967)",,,,,,,0,
064A,Greywacke,strong,,,steeply dipping,,"Gair, H.S. (1967)",,,,,,,330,
065A,Greywacke,strong,slightly weathered,,Greywacke (semi-schist),,"Gair, H.S. (1967)",,,,,,,0,
066A,Greywacke,strong,,,,strong to very strong,"Mutch, A.R., & McKellar, I.C. (1964)",,,,,,,,"No idea of depth, other than it must be in the range 40 to 200 m to bedrock"
066B,Greywacke,strong,,,,strong to very strong,"Mutch, A.R., & McKellar, I.C. (1964)",,,,,,,,"No idea of depth, other than it must be in the range 40 to 200 m to bedrock"
067A,Greywacke,strong,moderately weathered.,,Permian Greywacke,exhumed erosion surface in greywacke dips 10-15 degrees to SW.,"Gair, H.S. (1967)",,,,,,,0,
067B,Greywacke,strong,moderately weathered.,,Permian Greywacke,exhumed erosion surface in greywacke dips 10-15 degrees to SW. ,"Gair, H.S. (1967)",,,,,,,0,
068B,Granite,very strong,,,slightly foliated Darran Diorite,,"Cousins, W.J. et al. (1999)",,,,,,,3,Maximum value
070A,Sandstone,moderately strong,unweathered,,hard - Tertiary sandstone (some conglomerate),Few. Major fault down centre of lake,"Wood, B.L. (1962)",,,,1-20?,,,200,Approximate value
073A,Basalt,very strong,,,,May be weathered near surface?,"Barker, P.R. (1996); Benson, W.N. (1968)",,,,,,,3,"3 m is maximum, 7 m in freefield"
074A,Basalt,strong,,,volcanic (basalt?),strong to very strong,"Benson, W.N. (1968)",,,,,,,8,
077A,Mudstone,moderately strong,,,Tertiary,,"Wood, B.L. (1966); Watters, W.A; Speden, I.G., & Wood, B.L. (1966)",,,,,,,20,
077B,Mudstone,moderately strong,,,Tertiary,,"Wood, B.L. (1966); Watters, W.A; Speden, I.G., & Wood, B.L. (1966)",,,,,,,20,
078A,Greywacke,very strong,,,"greywacke, schist, gneiss, granite",,"Mutch, A.R., & McKellar, I.C. (1964)",,,,,,,100,Approximate value
079A,Mudstone,weak,,widely spaced,,stiff (weak),"Kingma, J.T. (1962)",,,2,,,,2,
080A,Granite,very strong,,,slightly foliated Darran Diorite,,"Cousins, W.J. et al. (1999)",,,,,,,40,Maximum value
080B,Granite,very strong,,,slightly foliated Darran Diorite,,"Cousins, W.J. et al. (1999)",,,,,,,40,Maximum value
081A,Andesite,strong,slightly weathered,,,slightly - moderately weathered,"Grindley, G.W. (1960)",,,,,,,300,
081B,Andesite,strong,slightly weathered,,,slightly - moderately weathered,"Grindley, G.W. (1960)",,,,,,,300,
081C,Andesite,strong,slightly weathered,,,slightly - moderately weathered,"Grindley, G.W. (1960)",,,,,,,300,
082A,Siltstone,weak,,,Miocene sandy siltstone,,"Kingma, J.T. (1965)",,,,,,,40,Approximate value
083A,Granite,moderately strong,,,quartz diorite,,"Bowen, F.E. (1964)",,,,,,,0,
084A,Greywacke,strong,unweathered,closely spaced,,closely jointed,"Mutch, A.R. (1963)",,,150,,1200,,0,
085D,Ignimbrite,weak,,,very stiff - Luke's Farm Beds,Matahina ingimbrite overlies Luke's Farm Beds in abutments of dam,"Cousins, W.J. et al. (1988)",,,,,,,15,Approximate value
085M,Ignimbrite,weak,,,very stiff - Luke's Farm Beds,Matahina ingimbrite overlies Luke's Farm Beds in abutments of dam,"Cousins, W.J. et al. (1988)",,,,,,,15,Approximate value
085N,Ignimbrite,weak,,,very stiff - Luke's Farm Beds,Matahina ingimbrite overlies Luke's Farm Beds in abutments of dam,"Cousins, W.J. et al. (1988); Healy, J. et al. (1964)",,,,,,,15,Approximate value
086A,Sandstone,weak,,,sandstone / mudstone,Waitemata Series,"Schofield, J.C. (1967)",,,,,,,2,Approximate value
086B,Sandstone,very weak,,,,may be volcanics or greywacke at depth,"Thompson, B.N. (1960)",,,,,,,0,Approximate value
087A,Siltstone ,weak,slightly weathered,,weak (stiff) - massive blue siltstone of tertiary age,"Slightly - moderately weathered, Minor faulting. Minor jointing in NNW & NE sets","Ker, D.S. (1973); McVerry, G.H. et al. (1984)",,,,,,,0,
087B,Siltstone ,weak,slightly weathered,,weak (stiff) - Massive blue siltstone of tertiary age,"Slightly - moderately weathered, Minor faulting. Minor jointing in NNW & NE sets","Ker, D.S. (1973); McVerry, G.H. et al. (1984)",,,,,,,0,
087C,Siltstone ,very weak,,,soft (extremely weak) - massive blue siltstone of Tertiary age overlies stronger siltstone,,"Ker, D.S. (1973); McVerry, G.H. et al. (1984); Drillholes 7 and 8 ""Wanganui river power development, Interim report on investigations, No 4 site (Atene)"", May 1963.",,,,,,,30,
087D,Siltstone ,weak,,,weak (stiff) - massive blue siltstone of Tertiary age overlies stronger siltstone,,"Ker, D.S. (1973); McVerry, G.H. et al. (1984)",,,,,,,0,
088A,Mudstone,weak,,,blue grey mudstone,stiff (weak),"Campbell, I.B. (1979); Kingma, J.T. (1962)",,,,,,,2,
089A,Schist,strong,,,,,"Wood, B.L. (1962)",,,,,,,300,Approximate value
090A,Mudstone,strong,slightly weathered,,"Tertiary (""Blue Bottom"")",,"Nathan, S. (1978)",,,,,,,10,
091A,Ignimbrite,weak,,,Ongatiti,,"GNS reports, test results.",2,1.7-2.2,,4-30,500,400-600,0,
091B,Ignimbrite,weak,slightly weathered,,Ongatiti,SW-MW,"GNS reports, test results.",2,1.7-2.2,,4-30,500,400-600,0,
091C,Ignimbrite,weak,slightly weathered,,Ongatiti,SW-MW,"GNS reports, test results.",2,1.7-2.2,,4-30,500,400-600,,Sensor is on structure
092A,Siltstone,weak,,,Tertiary siltstone,Mangaweka Mudstone,"Kingma, J.T. (1962)",,,,,,,5,
093A,Greywacke,very strong,,,greywacke or granite or schist?,NB: No detailed subsurface information. Quaternary sediments must be deep against the fault scarp. Bedrock in the region on this side of the fault is greywacke and granite with very little Tertiary apparent. Either Paleozoic granite or Pre-Cambrian greywacke. Could be schist or Tertiary?,"Warren, G. (1967)",,,,,,,100,Approximate value
094A,Greywacke,moderately strong,,,,,"Bowen, F.E. (1964); Morgan, P.G., & Bartrum, J.A. (1915)",,,,,,,0,
095B,Ignimbrite,weak,,,Whakamaru ignimbrite,"Open joints, clay filling.Rock strengthened by grouting","Healy, J. et al. (1964)",,,,,,,0,
096A,Mudstone,moderately strong,,,mudstone/sandstone/siltstone,,"Barker, P.R. (1994); Kingma, J.T. (1964); Pender, M., & Larkin, T. (1994)",,,,,,,100,Approximate value
097A,Sandstone,very strong,,,"indurated sandstone, argillite, marble, conglomerate","Same as site 103A, only about 100-200m away","Bowen, F.E. (1964)",,,,,,,20,
098A,Sandstone,moderately strong,,,indurated silty sandstone & mudstone - joints and minor faults in Tertiary rocks (Units D & E),"gravels slightly - moderately weathered, joints and minor faults in Tertiary rocks (Units D & E)","Kingma, J.T. (1967)",,,,,,,1160,c. 45 m to effective bedrock
099A,Siltstone,weak,,,Pliocene sandy siltstone,Conditions same at all 5 locations in Tolaga Bay,"Rijske, W.C., & Pullar, W.A. (1978)",,,,,,,20,Minimum value
099B,Siltstone,weak,,,Pliocene sandy siltstone,Conditions same at all 5 locations in Tolaga Bay,"Rijske, W.C., & Pullar, W.A. (1978)",,,,,,,20,Minimum value
100A,Siltstone,weak,,,Miocene sandy siltstone,,"Kingma, J.T. (1965)",,,,,,,50,Approximate value
100B,Siltstone,weak,,,Miocene sandy siltstone,,"Kingma, J.T. (1965)",,,,,,,50,Approximate value
102A,Siltstone,moderately strong,,,"Tertiary massive siltstone ""papa""",,"Barker, P.R. (1994); Grindley, G.W. (1960)",,,,,,,12,
103A,Sandstone,very strong,,,"indurated sandstone, argillite, marble, conglomerate",,"Bowen, F.E. (1964)",,,,,,,20,
103B,Sandstone,very strong,,,"indurated sandstone, argillite, marble, conglomerate",,"Bowen, F.E. (1964)",,,,,,,20,
104A,Greywacke,moderately strong,slightly weathered,,conglomerate with minor sandstone - Triassic," Slightly - moderately weathered","Johnston, M.R. (1990)",,,,,,,420,
105A,Greywacke,strong,,,Waipapa Grp,,"Thompson, B.N. (1961)",,,,,4000,3290-4510 (P-wave),30,"20-45 m, "
106A,Mudstone,weak ,,,Tertiary mudstone / siltstone,,"Neall, V.E. (1979)",,,,,,,350,Probably effective bedrock at c. 100 m
107A,Mudstone,,slightly weathered,,Tertiary (Kaiata Mudstone). ,,"Bowen, F.E. (1964)",,,,,,,3,
108A,Gneiss,extremely strong,,,foliated gneiss & granite,,"Wood, B.L. (1964)",,,,,,,0,
110C,Mudstone,weak ,slightly weathered,,Mangaweka mudstone.,minor faulting and jointing,"Kingma, J.T. (1962)",2.1,2.1 - 2.2,3,2 - 5,,,5,Maximum value
111A,Ignimbrite,moderately strong,,,Rangitaiki Ignimbrite,Ignimbrite overlies greywacke,"Grindley, G.W. (1960)",,,,,,,10,Approximate value
111B,Ignimbrite,moderately strong,,,Rangitaiki Ignimbrite,Ignimbrite overlies greywacke,"Grindley, G.W. (1960)",,,,,,,10,Approximate value
112A,Greywacke,moderately strong,,,,"Gravels potentially prone to slumping, bedrock stable, ","Browne, G. (1984)",,,,,,,60,
112B,Greywacke,moderately strong,,,,"Gravels potentially prone to slumping, bedrock stable, ","Browne, G. (1984)",,,,,,,60,
113A,Greywacke,strong,,,,strong-motion records indicate a resonant response at 4.5 Hz,"Cousins, W.J. et al. (1987); Cousins, W.J. et al. (1988)",,,,,,,10,Approximate value
114A,Greywacke,strong,,,,,"Lensen, G.J. (1959)",,,,,,,3300,Effective bedrock at c. 100 m
114B,Greywacke,strong,,,,,"Lensen, G.J. (1959)",,,,,,,3300,Effective bedrock at c. 100 m
114C,Greywacke,strong,,,,,"Lensen, G.J. (1959)",,,,,,,3300,Effective bedrock at c. 100 m
115A,Limestone,strong,slightly weathered,,Tertiary. ,,"Grindley, G.W. (1961); Grindley, G.W. (1971)",,,,,,,0,
116A,Greywacke,very strong,,,,,"Kingma, J.T. (1967)",,,,,,,300,Probably effective bedrock at 150 m
117A,Rhyolite,moderately strong,,,Haparangi Rhyolite,Bedrock hydrothermally altered in part. Some of Huka Gp may be cemented by siliceous sinter,"Crafar, W.M. (1973)",,,,,,,60,"Probably < 60 m, Huka Group sediments may be effective bedrock in part"
117B,Rhyolite,moderately strong,,,Haparangi Rhyolite,Bedrock hydrothermally altered in part. Some of Huka Gp may be cemented by siliceous sinter,"Crafar, W.M. (1973)",,,,,,,60,"Probably < 60 m, Huka Group sediments may be effective bedrock in part"
118A,Schist,strong,,,,foliated,"Wood, B.L. (1962)",,,,,,,0,
118B,Schist,strong,,,,foliated,"Wood, B.L. (1962)",,,,,,,40,Minimum value
