Station,", Bedrock Type ()",", Intact Strength ()",", Bedrock (Weathering)",", Spacing (of Defects)",", Additional Rock (Description)",", Notes ()",", References ()",", Bulk Density ((t/m3))",", Bulk Density (Notes)",", UCS (Mpa)",", UCS (Notes)",", Vs (m/s) ()",", Vs Notes ()",", Depth to Bedrock (from sensor level)",", Depth to Bedrock (from sensor level - Notes)"
119A,Ignimbrite,strong,,,water laid pumice tuffs & breccias with interbedded freshwater siltstones & sandstones (Ohakuri Grp),,"Healy, J. et al. (1964)",,,,,,,,Unknown - insufficient subsurface data
120A,Mudstone,moderately weak,,,Tertiary mudstone/ sandstone,,"Lillie, A.R. (1953)",,,,,,,100,Approximate value
120B,Mudstone,moderately weak,,,Tertiary mudstone/ sandstone,,"Lillie, A.R. (1953)",,,,,,,100,Approximate value
120C,Mudstone,moderately weak,,,Tertiary mudstone/ sandstone,,"Lillie, A.R. (1953)",,,,,,,100,Approximate value
121A,Schist,moderately strong,,,,,"Wood, B.L. (1962)",,,,,,,0,
122A,Siltstone ,weak,slightly weathered,,Tertiary sandstone and mudstone,weak rock / hard soil,"Suggate, R.P. (1984)",,,,,,,250,
123A,Greywacke,very strong,slightly weathered ,,"sandstone & argillite, ",Strength reduced by crushing close to fault,"Kingma, J.T. (1967)",2.4,,75,50 - 100,1000,700 - 1500,10,
124A,Siltstone,weak,,,sandstone / siltstone,,"Grindley, G.W. (1960)",,,,,,,0,
124B,Siltstone,weak,weathered ,,weak to moderately strong - siltstone/sandstone - weathered to about 35m.,little loss of strength involved.,"Grindley, G.W. (1960)",,,,,,,5,Approximate value
125A,Greywacke,moderately strong,,,,,"Read, S.A.L. (1990)",,,,,,,0,
125D,Greywacke,moderately strong,,,,,"Read, S.A.L. (1990)",,,,,,,22.5,
126C,Greywacke,strong,,,Greywacke / semi schist,,"Gair, H.S. (1967)",,,,,,,400,Approximate value
127A,Siltstone,moderately strong,,,silty very fine sandstone,,"Lensen, G.J. (1959)",,,,,,,0,
128A,Sandstone,moderately strong,,,Cretaceous - Paleocene sandstone / shale ,moderately weak to moderately strong,"Thompson, B.N. (1961)",,,,,,,0,
129A,Siltstone ,weak,,,Miocene muddy / very fine sandstone,weak to moderately strong,"Suggate, R.P. (1984)",,,,,,,200,
130A,Greywacke,strong,,,,,"Johnston, M.R. (1990)",,,,,,,100,Uncertain value
130B,Greywacke,strong,,,,,"Johnston, M.R. (1990)",,,,,,,100,Uncertain value
131A,Greywacke,strong,,,,,"Kingma, J.T. (1967)",,,,,,,50,Approximate value
132A,Greywacke,moderately strong,highly weathered,,weak to strong,Probably little velocity contrast between bedrock and Pleistocene sediments. 30degree dipping surface (westward),"Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,20,Approximate value
134A,Greywacke,strong,,,,,"Kear, D., & Schofield, J.C. (1965); Kear, D. et al. (1964)",,,,,,,450,Probably effective bedrock at c 140-180 m (base of Walton subgroup)
200A,Greywacke,moderately strong,unweathered,,,jointed but compact. Steeply dipping crushed and sheared zones.,"Kingma, J.T. (1962)",,,200,,4800,,0,
201A,Basalt,strong,,,basalt (or mudstone)?,,"White, P.J., & Perrin, N.D. (2003)",,,,,,,17,"15-20 m, based on borehole data from site on Hunt St., 500 m N of recorder site"
201B,Basalt,strong,,,basalt (or mudstone)?,,"White, P.J., & Perrin, N.D. (2003)",,,,,,,17,"15-20 m, based on borehole data from site on Hunt St., 500 m N of recorder site"
202A,Sandstone,moderately strong,,,Cretaceous - Paleocene sandstone / shale ,moderately weak to moderately strong,"Thompson, B.N. (1961)",,,,,,,4,Maximum value
203A,Mudstone,weak,,,mudstone / sandstone,Waitemata Group,"Thompson, B.N. (1961)",,,,,,,5,Approximate value
203B,Mudstone,weak,,,mudstone / sandstone,Waitemata Group,"Thompson, B.N. (1961)",,,,,,,5,Approximate value
204A,Siltstone,weak,,,Waitemata Fm,very stiff,"Kermode, L.O. (1966)",,,,,,,0,6.5 m in freefield
205A,Siltstone,weak,,,Waitemata Group,stiff,"Kermode, L.O. (1966)",,,,,,,0,7.5 m in freefield
206A,Mudstone,weak,highly weathered,,Waitemata series Flysch,Very weathered (to white or orange clay) top 10m approx,"Kermode, L.O. (1966)",,,,,,,0,
207A,Mudstone,weak,,,"Waitemata Gp Flysch, muddy sandstone / mudstone",East Coast Bays Fm. Puketoa Fm may be weathered to soft clay at the top,"Kermode, L.O. (1969)",,,,,,,2.5,"c. 2.5 m, c. 5 m in freefield"
208A,Mudstone,weak,,,Waitemata Gp Flysch,East Coast Bays Fm. Puketoa Fm may be weathered to soft clay at the top,"Kermode, L.O. (1992)",,,,,,,7,"c. 7 m, c. 10 m in freefield"
209A,Andesite,strong,,,Beesons Island volcanics,,"Schofield, J.C. (1967)",,,,,,,120,Effective bedrock likely to be < 100 m
209B,Andesite,strong,,,Beesons Island volcanics,,"Schofield, J.C. (1967)",,,,,,,120,Effective bedrock likely to be < 100 m
210A,Greywacke,weak,,,siltstone or Greywacke,weak or moderately strong,"Schofield, J.C. (1967)",,,,,,,90,Approximate value
211A,Andesite ,strong,,,Beeson's Island Volcanics,,"Schofield, J.C. (1967)",,,,,,,80,60-100 m
212A,Ignimbrite,weak,,,,"Top 20m is certainly soft / very loose, ","Healy, J. et al. (1964)",,,,,,,120,
213A,Greywacke,strong,,,,,"Kear, D., & Schofield, J.C. (1965)",,,,,,,410,< 125 m to effective bedrock
214A,Sandstone,weak,,,Lower Pleistocene sandstone / conglomerate,,"Healy, J. et al. (1964)",,,,,,,75,50 - 100 m
214B,Sandstone,weak,,,Lower Pleistocene sandstone / conglomerate,,"Healy, J. et al. (1964)",,,,,,,75,50 - 100 m
215A,Rhyolite,moderately strong,,,rhyolite (Haparangi),,"Crafar, W.M. (1973)",,,,,,,50,"Probably < 50 m, Huka Group sediments may be effective bedrock in part"
215B,Rhyolite,moderately strong,,,rhyolite (Haparangi),,"Crafar, W.M. (1973)",,,,,,,50,"Probably < 50 m, Huka Group sediments may be effective bedrock in part"
215C,Rhyolite,moderately strong,,,Haparangi Rhyolite,Bedrock hydrothermally altered in part. Some of Huka Gp may be cemented by siliceous sinter,"Crafar, W.M. (1973)",,,,,,,60,"Probably < 60 m, Huka Group sediments may be effective bedrock in part"
216A,Siltstone,weak,,,Pliocene sandy siltstone,Conditions same at all 5 locations in Tolaga Bay,"Rijske, W.C., & Pullar, W.A. (1978)",,,,,,,20,Minimum value
216B,Siltstone,weak,,,Pliocene sandy siltstone,Conditions same at all 5 locations in Tolaga Bay,"Rijske, W.C., & Pullar, W.A. (1978)",,,,,,,20,Minimum value
217A,Siltstone,weak,,,"siltstone, sandstone, limestone",No detailed subsurface information found ## weak to very weak ,"Kear, D. (1960)",,,3,2 - 5,,,40,Approximate value
218A,Siltstone,weak ,,,weak (soft) rock,"Same as sites 017A, 018A and GISS","Kingma, J.T. (1964)",,,,,,,40,
219A,Siltstone,moderately strong,,,siltstone/pumice breccia,Huka formation,"Grindley, G.W. (1960)",,,,,,,30,"10 - 50 m, may be effective bedrock at 50 m, possibly less"
220A,Siltstone,moderately strong,,,Huka formation siltstone / pumice breccia,250 m thick.,"Grindley, G.W. (1960)",,,,,,,30,"10 - 50 m, may be effective bedrock at 50 m, possibly less"
221A,Sandstone,weak,,,Tertiary sandstone/siltstone,,"Grindley, G.W. (1960)",,,4,,,,0,
221B,Sandstone,weak,,,Tertiary sandstone/siltstone,,"Grindley, G.W. (1960)",,,4,,,,7,5 to 10 m
222A,Sandstone,weak,,,sandstone (Tertiary),,"Hay, R.F. (1967)",,,,,,,30,Approximate value
223A,Mudstone,weak,,,"Miocene age mudstone / sandstone, limestone",,"Hay, R.F. (1967)",,,,,,,5,Approximate value
223B,Mudstone,weak,,,"mudstone/sandstone, limestone",,"Hay, R.F. (1967)",,,,,,,2,Maximum value
224A,Mudstone,weak ,,,Mahoenui mudstone,weak (hard soil),"Hay, R.F. (1967)",,,,,,,2,Approximate value
225A,Mudstone,moderately strong,,,mudstone/sandstone/siltstone,,"Barker, P.R. (1994); Kingma, J.T. (1964); Pender, M., & Larkin, T. (1994)",,,,,,,100,Approximate value
225B,Mudstone,moderately strong,,,mudstone/sandstone/siltstone,,"Barker, P.R. (1994); Kingma, J.T. (1964); Pender, M., & Larkin, T. (1994)",,,,,,,100,Approximate value
226B,Sandstone,weak,,,soft rock or stiff / hard soil - Pliocene sandstone / siltstone,"the agglomerate is volcanic debris including cobbles and large blocks in sand matrix, partly hydrothermally altered & well cemented with both quartz and calcite. Borehole data 300m from site","Hay, R.F. (1967)",,,5,,,,120,"120 ? m, may be effective bedrock at 10 m"
228A,Sandstone,weak,,,sandstone (Tertiary),,"Hay, R.F. (1967)",,,,,,,100,Approximate value
229A,Limestone,moderately weak,,,limestone ? or mudstone ?,moderately weak to moderately strong,"Kingma, J.T. (1970)",,,,,,,20,Maximum value
230A,Mudstone,weak,,,Tertiary mudstone and sandstone,,"Lensen, G.J. (1959)",,,,,,,12,Maximum value
231A,Mudstone,weak,,widely spaced,,stiff (weak),"Kingma, J.T. (1962)",,,2,,,,2,
232A,Mudstone,weak,,,Tertiary mudstone and sandstone (Rapanui Fm),,"Lensen, G.J. (1959)",,,,,,,12,Maximum value
234A,Siltstone,weak,unweathered  ,,Tertiary grey siltstone,,"Lensen, G.J. (1959)",,,,,,,35,Approximate value
235A,Mudstone,moderately strong,,,Tertiary mudstone & siltstone,Waipawa Black shale,"Kingma, J.T. (1962); Kingma, J.T. (1971)",,,,,,,10,
236A,Siltstone,weak,,,siltstone/sandstone," stiff soil / weak rock-Lower Pleistocene ","Lillie, A.R. (1953)",,,,,,,10,"10 to 20 m, to effective bedrock, Greywacke basement is 2000 m"
236B,Siltstone,weak,,,siltstone / sandstone," stiff soil / weak rock-Lower Pleistocene ","Lillie, A.R. (1953)",,,,,,,10,"10 to 20 m, to effective bedrock, Greywacke basement is 2000 m"
237A,Greywacke,very strong,,,,,"Cowie, J.D. (1974)",,,,,,,2000,c. 60m to effective bedrock
238A,Sandstone,weak,,,Tertiary,,"Kingma, J.T. (1962)",,,,,,,50,Approximate value
239A,Sandstone,weak,,,Lower Pleistocene sandstone / siltstone,"v. stiff (soil), soft (rock)","Kingma, J.T. (1962)",,,,,,,70,
240A,Greywacke,strong,,,,,"Kingma, J.T. (1967)",,,,,,,300,Approximate value
242A,Greywacke,strong,,,,,"Kingma, J.T. (1967)",,,,,,,300,Probably effective bedrock at 150 m
243A,Mudstone,weak,,,mudstone / sandstone,,"Johnston, M.R. (1975)",,,,,,,2,Uncertain value
243B,Mudstone,moderately strong,,,mudstone/sandstone,Eocene-Miocene (300m thick). Cretaceous and older greywacke below approx 300m,"Johnston, M.R. (1975)",,,,,,,10,Maximum value
244A,Mudstone,moderately strong,slightly weathered,,"Tertiary calcareous sandy mudstone,""Papa""",slightly - moderately weathered,"Kingma, J.T. (1967)",,,,,,,100,Possibly effective bedrock at c. 50 m
245A,Greywacke,strong,,,,,"Kingma, J.T. (1967)",,,,,,,20,Approximate value
246A,Greywacke,strong,,,,,"Kingma, J.T. (1967)",,,,,,,50,Approximate value
248A,Sandstone,moderately strong,,,indurated silty sandstone & mudstone - joints and minor faults in Tertiary rocks (Units D & E),"gravels slightly - moderately weathered, joints and minor faults in Tertiary rocks (Units D & E)","Kingma, J.T. (1967)",,,,,,,1160,c. 45 m to effective bedrock
249A,Greywacke,weak,,,"weak, becoming stronger with depth",Site period (from strong-motion records) c 0.35 s,,,,,,,,20,Approximate value
249B,Greywacke,weak,,,"weak, becoming stronger with depth",Site period (from strong-motion records) c 0.35 s,,,,,,,,20,Approximate value
250A,Greywacke,weak,,,"weak, becoming stronger with depth",Site period (from strong-motion records) c 0.35 s,,,,,,,,20,Approximate value
251A,Greywacke,weak,completely weathered,,completely to highly weathered,,,,,,,,,1.5,Approximate value
252A,Andesite,weak,,,andesite (highly altered) Hydrothermal alteration has probably reduced the rock to hard soil/weak rock,"geological compilation at 150,000 scale for QMAP (Thames)","Schofield, J.C. (1967)",,,,,,,5,Approximate value
253A,Greywacke,strong,,,,,"Kear, D., & Schofield, J.C. (1965); Kear, D. et al. (1964)",,,,,,,410,< 120 m to effective bedrock
254A,Limestone,moderately weak,,,moderately weak to moderately strong - siltstone / limestone,"most likely blue siltstone under alluvial deposits, some limestone may be present","Barker, P.R. (1994); Kingma, J.T. (1970)",,,,,,,200,"c. 200 m, probably effective bedrock at 20 m"
255A,Greywacke,strong,,,Cretaceous,,"Kingma, J.T. (1967)",,,,,,,7,"5 to 10 m, this site is close to toe of steep slope, so may be nearly on rock"
256A,Greywacke,very strong,,,,,"Bowen, F.E. (1964)",,,,,,,20,Approximate value
257A,Granite,very strong,,,,,"Beck, A.C. (1964)",,,,,,,600,c. 300 m to effective bedrock
259A,Siltstone,weak,,,clay-bound gravels. - Surficial materials slightly weathered,Port Hills Gravel ,"Johnston, M.R. (1979)",,,,,,,52,
260A,Greywacke,strong,,,Torlesse Supergroup,,"Brown, L.J. (1981)",,,,,,,1000,Effective bedrock 70 m?
261A,Schist,moderately weak ,,,Chlorite Schist II,moderately weak to strong - CW near surface,"Kingma, J.T. (1971)",,,,,,,2,Approximate value
262A,Greywacke,strong,highly weathered,,Pelorus group Greywacke / argillite,,"Beck, A.C. (1964)",,,,,,,20,Approximate value
263A,Greywacke,strong,highly weathered,,Paleozoic.,,"Beck, A.C. (1964)",,,,,,,20,Maximum value
264A,Greywacke,moderately strong,,,clay-bound gravel  (Moutere Gravels),,"Johnston,M.R. (1983)",,,,,,,200,40 m to effective bedrock (Moutere gravel)
265A,Siltstone ,weak,,,Tertiary sandstone & mudstone,weak rock / hard soil,"Suggate, R.P. (1984)",,,,,,,250,
265B,Siltstone ,weak,slightly weathered,,Tertiary sandstone and mudstone,weak rock / hard soil,"Suggate, R.P. (1984)",,,,,,,250,
266A,Siltstone,strong,slightly weathered,,siltstone (Tertiary),Poor gound conditions on unconsolidated alluvium,"Nathan, S. (1976)",,,,,,,105,Minimum value
266B,Siltstone,strong,slightly weathered,,siltstone (Tertiary),Poor gound conditions on unconsolidated alluvium,"Nathan, S. (1976)",,,,,,,105,Minimum value
267A,Sandstone,strong,slightly weathered,,extremely indurated sandstone & mudstone,outwash gravel & sand ,"Bowen, F.E. (1964)",,,,,,,30,
267B,Sandstone,strong,,,sandstone (Greenland Group),,"Bowen, F.E. (1964)",,,,,,,20,
268A,Mudstone,strong,,,mudstone / limestone,,Nathan. S. (1976),,,,,,,40,Approximate value
270A,Limestone,moderately strong,,,,,"Lensen, G.J. (1962)",,,,,,,10,Maximum value
270B,Limestone,moderately strong,,,,,"Lensen, G.J. (1962)",,,,,,,0,
271A,Greywacke,strong,unweathered ,,sandstone and argillite - strong to very strong,Crush zone 61.5 - 64.5m depth. Shattered? 80-87m.,"Freund, R. (1971); Gregg, D.R. (1964); Log of Hanmer Development Scheme thermal water supply borehole No 6. (1975)",,,,,,,57,
272A,Siltstone,strong,,,massive siltstone,,"NZ Soil Bureau Job File 27(Held at GNS); Warren, G. (1967)",,,,,,,100,
272B,Siltstone,strong,,,massive siltstone,,"Warren, G. (1967)",,,,,,,100,
272C,Siltstone,strong,,,massive siltstone,,"NZ Soil Bureau Job File 27(Held at GNS); Warren, G. (1967)",,,,,,,100,
273A,Basalt,strong,,,,,"Berrill, J.B. et al. (1993); GNS Science unpublished data.",,,,,,,100,c. 400 m to effective bedrock
274A,Basalt,strong,,,basalt (Lyttleton basalt),Same as for 502A,"Brown, L.J., & Weeber, J.H. (1992)",,,,,,,1000,c. 30 m to effective bedrock
275A,Greywacke,very strong,,,volcanic or Greywacke,,"Brown, L.J. (1975)",,,,,,,1200,"c. 1200 m, c 500 m to effective bedrock"
276A,Siltstone,weak,,,,,"Gregg, D.R. (1964)",,,,,,,15,
277A,Greywacke,very strong,,,andesite/ greywacke - Tertiary,,"Suggate, R.P. (1973)",,,,,,,1100,"Bedrock starts at 500m, but big velocity contrast at 1100 m, effective depth c 500 m"
278A,Greywacke,strong,,,,bedrock surface dips steeply beneath the overburden,"Gair, H.S. (1967)",,,,,,,100,Approximate value
279A,Greywacke,strong,,,steeply dipping,,"Gair, H.S. (1967)",,,,,,,330,
280A,Greywacke,strong,,,,bedrock surface steeply dipping at 25-30 degrees,"Mutch, A.R. (1963)",,,,,,,,No subsurface information available. Bedrock probably < 100 m depth
281A,Siltstone,weak,,,siltstone (Tertiary) overlying schist,weak to strong,"Gair, H.S. (1967); Brown, L.J. (1981)",,,,,,,10,c. 10 m  to effective bedrock
283A,Schist,strong,,,,,"Wood, B.L. (1962)",,,,,,,45,Approximate value
283B,Schist,strong,,,,,"Wood, B.L. (1962)",,,,,,,45,Approximate value
284A,Limestone,moderately strong,,,limestone / mudstone,,"Barker, P.R. (1996); Mutch, A.R. (1963)",,,,,,,30,Subsurface information lacking. It may be <10 m to bedrock
284B,Limestone,moderately strong,,,limestone / mudstone,,"Barker, P.R. (1996); Mutch, A.R. (1963)",,,,,,,30,Subsurface information lacking. It may be <10 m to bedrock
285A,Sandstone,moderately strong,unweathered,,hard - Tertiary sandstone (some conglomerate),Few. Major fault down centre of lake,"Wood, B.L. (1962)",,,,1-20?,,,200,Approximate value
286A,Sandstone,moderately strong,unweathered,,hard - Tertiary sandstone (some conglomerate),Few. Major fault down centre of lake,"Wood, B.L. (1962)",,,,1-20?,,,200,Approximate value
287A,Schist,weak,,,shattered rock.,weak to moderately strong,"Wood, B.L. (1966)",,,,,,,5,Approximate value
288A,Greywacke,strong,,,,,"Wood, B.L. (1966)",,,,,,,40,
289A,Greywacke,very strong,,,,,"Wood, B.L. (1966)",,,,,,,40,
289B,Greywacke,very strong,,,,,"Wood, B.L. (1966)",,,,,,,40,
290A,Basalt,very strong,,,,May be weathered near surface?,"Barker, P.R. (1996); Benson, W.N. (1968)",,,,,,,3,"3 m is maximum, 7 m in freefield"
291A,Basalt,strong,,,,,"Soils Foundations. (1993); Benson, W.N. (1968)",,,,,,,65,
292A,Basalt,very strong,slightly weathered,,,,"Barker, P.R. (1996); Benson, W.N. (1968)",,,,,,,25,
293A,Greywacke,moderately weak,,,greywacke (Tuapeka Gp.),moderately weak to moderately strong,"McKellar, I.C. (1966)",,,,,,,50,
293B,Greywacke,moderately weak,,,greywacke (Tuapeka Gp.),moderately weak to moderately strong,"McKellar, I.C. (1966)",,,,,,,50,Approximate value
294A,Greywacke,strong,,,,,"Wood, B.L. (1966)",,,,,,,50,Approximate value
294B,Greywacke,strong,,,,,"Wood, B.L. (1966)",,,,,,,50,Approximate value
295A,Mudstone,moderately strong,,,Tertiary,,"Wood, B.L. (1966); Watters, W.A; Speden, I.G., & Wood, B.L. (1966)",,,,,,,20,
296A,Greywacke,very strong,,,"greywacke, schist, gneiss, granite",,"Mutch, A.R., & McKellar, I.C. (1964)",,,,,,,100,Approximate value
297A,Schist,strong,,,,,"Mutch, A.R. (1963)",,,,,,,140,"140? m, effective bedrock may be c 40 m"
297B,Schist,strong,,,,,"Mutch, A.R. (1963)",,,,,,,140,"140? m, effective bedrock may be c 40 m"
299A,Greywacke,very strong,,,greywacke or granite or schist?,NB: No detailed subsurface information. Quaternary sediments must be deep against the fault scarp. Bedrock in the region on this side of the fault is greywacke and granite with very little Tertiary apparent. Either Paleozoic granite or Pre-Cambrian greywacke. Could be schist or Tertiary?,"Warren, G. (1967)",,,,,,,100,Approximate value
301A,Greywacke,very strong,,,,,"Cowie, J.D. (1974)",,,,,,,2000,c. 60m to effective bedrock
302A,Siltstone,weak,unweathered  ,,Tertiary grey siltstone,,"Lensen, G.J. (1959)",,,,,,,35,Approximate value
303A,Greywacke,weak,highly weathered,,,,"Perrin, N.D., & Campbell, H.J. (1992)",,,,,,,45,Approximate value
304A,Greywacke,strong,,,volcanics / schist,,"Mutch, A.R., & McKellar, I.C. (1964)",,,,,,,200,Minimum value
305A,Greywacke,very strong,,,greywacke/ semi-schist,Permo-Triassic,"Gair, H.S. (1967)",,,,,,,1000,"Effective bedrock at 40 m, but much stronger material at 1000 m"
306A,Siltstone,weak,unweathered  ,,Tertiary grey siltstone,Taken to be same as Post Office site,"Lensen, G.J. (1959)",,,,,,,35,Approximate value
340A,Greywacke,moderately strong,,,,,"Kingma, J.T. (1962)",,,,,,,1000,Approximate value
464A,Greywacke,very strong,,,,,"Fry, B. (1980)",,,,,,,170,Approximate value
465A,Greywacke,very strong,,,possibly highly weathered in top 10m,,"Fry, B. (1980)",,,,,,,50,Approximate value
467A,Greywacke,strong,,,,,,,,,,,,150,Approximate value
468A,Greywacke,very strong,,,possibly highly weathered in top 10m,,"Stephenson, W.R., & Barker, P.R. (1992); Fry, B. (1980)",,,,,,,50,Approximate value
469A,Greywacke,very strong,,,,,"Fry, B. (1980)",,,,,,,280,Approximate value
501A,Basalt,strong,,,basalt (Lyttleton basalt),,"Barker, P.R. (1996); Berrill, J.B. et al. (1993); Brown, L.J., & Weeber, J.H. (1992)",,,,,,,800,"c. 800 m, 75 m to effective bedrock?"
502A,Basalt,strong,,,basalt (Lyttleton basalt),,"Brown, L.J., & Weeber, J.H. (1992)",,,,,,,1000,c. 30 m to effective bedrock
503A,Basalt,strong,,,basalt (Lyttleton basalt),,"Brown, L.J., & Weeber, J.H. (1992)",,,,,,,800,70 m to effective bedrock?
504A,Greywacke,strong,,,,,"Wood, B.L. (1966)",,,,,,,50,Approximate value
505A,Greywacke,weak,,,Torlesse Group,crushed in part,"Gregg, D.R. (1964)",,,,,,,50,
506A,Greywacke,moderately weak,,,greywacke (Tuapeka Gp.),moderately weak to moderately strong ## weathered near surface,"McKellar, I.C. (1966)",,,,,,,2,
506B,Greywacke,moderately weak,,,greywacke (Tuapeka Gp.),moderately weak to moderately strong ## weathered near surface,"McKellar, I.C. (1966)",,,,,,,2,
507A,Limestone,moderately strong,,,limestone / mudstone,,"Barker, P.R. (1996); Mutch, A.R. (1963)",,,,,,,30,Subsurface information lacking. It may be <10 m to bedrock
508A,Greywacke,very strong,,,,"Possibility of failure of slope above power house in strong shaking, ","Gregg, D.R. (1964)",,,,,,,20,Maximum value
601A,Greywacke,very strong,,,,,"Fry, B. (1980)",,,,,,,297,
602A,Greywacke,moderately strong,slightly weathered,,"brown, slightly to moderately weathered sandstone",,,,,,,,,0,
602B,Greywacke,moderately strong,slightly weathered,,"brown, slightly to moderately weathered sandstone",,,,,,,,,0,
602C,Greywacke,moderately strong,slightly weathered,,"brown, slightly to moderately weathered sandstone",,,,,,,,,0,
603A,Greywacke,moderately strong,slightly weathered,closely spaced,,,,,,,,,,0,
603B,Greywacke,moderately strong,slightly weathered,closely spaced,,,,,,,,,,0,
604A,Greywacke,very strong,,,,,"Fry, B. (1980)",,,,,,,170,Approximate value
605A,Greywacke,weak,,,"yellow-brown hard sandy silt, in-situ weathered bedrock, stronger within a few metres depth",,,,,,,,,0,
605B,Greywacke,weak,,,"yellow-brown hard sandy silt, in-situ weathered bedrock, stronger within a few metres depth",,,,,,,,,0,
606A,Greywacke,weak,completely weathered,,"weak, stronger with depth",,Soil Bureau file 9/28 (held at GNS). ,,,,,,,0,
606B,Greywacke,weak,completely weathered,,"weak, stronger with depth",,Soil Bureau file 9/28 (held at GNS). ,,,,,,,0,
607A,Greywacke,strong,,,,,"Fry, B. (1980)",,,,,,,270,250-300 m
608A,Greywacke,strong,,,,,"Fry, B. (1980)",,,,,,,275,250-300 m
608B,Greywacke,strong,,,,,"Fry, B. (1980)",,,,,,,250,Approximate value
640A,Greywacke,moderately strong,,,,,"Fry, B. (1980)",,,,,1000,c,25,"c. 25 m, Based on nearby borehole data"
640B,Greywacke,moderately strong,,,,,"Fry, B. (1980)",,,,,1000,c,25,"c. 25 m, Based on nearby borehole data"
641A,Greywacke,weak,moderately weathered,,moderately to highly weathered,Materials and thicknesses largely guesswork,"Fry, B. (1980)",,,,,,,12,
642A,Greywacke,weak,,,"weak, becoming stronger with depth",Site period (from strong-motion records) c 0.35 s,,,,,,,,20,Approximate value
642B,Greywacke,weak,,,"weak, becoming stronger with depth",Site period (from strong-motion records) c 0.35 s,,,,,,,,20,Approximate value
