Mark,Domes Number,Mark Type,Type,Ground Relationship,Foundation Type,Foundation Depth,Start Date,End Date,Bedrock,Geology
2004,,Forced Centering,Steel Mast,0,Reinforced Concrete,0,2000-06-19T00:00:00Z,2024-07-05T00:00:00Z,,
2406,,Forced Centering,Pillar,-1.66,Reinforced Concrete,2,2012-01-31T00:00:00Z,9999-01-01T00:00:00Z,,
AHTI,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2009-01-01T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,Site On Flat Linear Ridge Line With Steepening Slopes To The North And South.
AKTO,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2006-04-27T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
ALS1,,Forced Centering,Steel Mast,-2.1,Stainless Steel Rods,4,2023-02-24T01:08:38Z,2024-02-26T00:00:00Z,,
ALS2,,Forced Centering,Steel Mast,-0.5,Stainless Steel Rods,1.5,2023-02-23T01:17:02Z,2024-03-14T00:00:00Z,,
ANAU,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.42,Stainless Steel Rods,10,2010-06-01T00:00:00Z,9999-01-01T00:00:00Z,,Top Of Narrow Hill
ARTA,,Forced Centering,Pillar,-1.017,Reinforced Concrete,2,2008-11-05T00:00:00Z,9999-01-01T00:00:00Z,,
ATIA,,Forced Centering,Pillar,-1,Reinforced Concrete,2,2006-10-12T00:00:00Z,2006-11-08T00:00:00Z,,
AUCK,50209M001,Forced Centering,Pillar,-1.28,Reinforced Concrete,2,1995-09-18T00:00:00Z,9999-01-01T00:00:00Z,Limestone,From Sitelog: The Strata Are Superficially Folded.  Basement Is Jurassic Greywacke At About 200-300 M Depth.
AUKT,50216M001,Forced Centering,Steel Mast,-2.52,Stainless Steel Rod,0,2009-09-22T00:00:00Z,9999-01-01T00:00:00Z,,
AVLN,,Forced Centering,Steel Mast,-14.16,Stainless Steel Rod,0,2006-02-24T00:00:00Z,9999-01-01T00:00:00Z,,
BHST,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.55,Stainless Steel Rods,10,2008-06-12T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
BIRF,,Forced Centering,Pillar,-1.37,Reinforced Concrete,2,2005-01-26T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
BLUF,50234M001,Forced Centering,Pillar,-1.265,Reinforced Concrete,2,2004-03-05T00:00:00Z,9999-01-01T00:00:00Z,,"Mapped As Mi: Devonian-Cretaceous Gabbro, Norite, Peridotite And Serpentinite."
BM8A,,Unmarked Mark,Steel Mast,-0.95,Stainless Steel Rod,0,2013-01-29T00:00:00Z,2016-05-06T00:00:00Z,,
BNET,,Forced Centering,Pillar,-0.45,Reinforced Concrete,2,2005-02-15T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
BTHL,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.58,Stainless Steel Rods,10,2009-01-13T00:00:00Z,9999-01-01T00:00:00Z,,Flat Top Hill Gently Sloping To The North.
CAST,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2006-02-08T00:00:00Z,9999-01-01T00:00:00Z,Limestone,
CHAT,50207M001,Forced Centering,Pillar,-0.7,Reinforced Concrete,2,1995-10-04T00:00:00Z,2012-05-23T00:00:00Z,Andesite,
CHTI,50242M001,Forced Centering,Shallow Rod / Braced Antenna Mount,-1.2,Stainless Steel Rods,2.5,2007-12-10T00:00:00Z,9999-01-01T00:00:00Z,Basalt,
CKID,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2006-05-23T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
CLIM,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.61,Stainless Steel Rods,10,2005-10-18T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
CLRR,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.51,Stainless Steel Rods,10,2017-02-12T00:00:00Z,9999-01-01T00:00:00Z,,
CLS3,,Not Specified,Unknown,0,Unknown,0,2011-06-21T00:00:00Z,2015-09-22T00:00:00Z,,
CLS4,,Not Specified,Unknown,0,Unknown,0,2011-06-21T00:00:00Z,9999-01-01T00:00:00Z,,
CLS5,,Not Specified,Unknown,0,Unknown,0,2011-06-21T00:00:00Z,9999-01-01T00:00:00Z,,
CLS6,,Not Specified,Unknown,0,Unknown,0,2011-10-13T00:00:00Z,2016-08-28T00:00:00Z,,
CLSG,,Unmarked Mark,Unknown,0,Unknown,0,2011-03-02T00:00:00Z,2011-06-21T00:00:00Z,,
CLSK,,Unmarked Mark,Unknown,0,Unknown,0,2011-03-02T00:00:00Z,2017-06-29T00:00:00Z,,
CMBL,,Forced Centering,Pillar,-1.445,Reinforced Concrete,2,2003-12-03T00:00:00Z,9999-01-01T00:00:00Z,Limestone,
CNCL,,Forced Centering,Pillar,-0.4,Reinforced Concrete,2,2000-02-05T00:00:00Z,9999-01-01T00:00:00Z,Schist,
CNST,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.6,Stainless Steel Rods,10,2007-02-22T00:00:00Z,9999-01-01T00:00:00Z,Limestone,
CORM,50226M001,Forced Centering,Pillar,-1.2,Reinforced Concrete,2,2003-05-09T00:00:00Z,9999-01-01T00:00:00Z,Rhyolite,
DBHI,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.57,Stainless Steel Rods,10,2024-11-06T00:00:00Z,9999-01-01T00:00:00Z,,
DNVK,50224M001,Forced Centering,Pillar,-1.15,Reinforced Concrete,2,2002-06-05T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
DUND,50212M003,Forced Centering,Shallow Rod / Braced Antenna Mount,-1.25,Stainless Steel Rods,2.5,2005-08-10T00:00:00Z,9999-01-01T00:00:00Z,Basalt,
DUNT,50212S001,Forced Centering,Steel Mast,-4.5,Stainless Steel Rod,0,1999-09-23T00:00:00Z,9999-01-01T00:00:00Z,Basalt,
DURV,,Forced Centering,Pillar,-999,Reinforced Concrete,2,2005-03-09T00:00:00Z,9999-01-01T00:00:00Z,,"Mapped As Ymm, Permian Serpentinite, Dunite, Peridotite."
ERWO,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2025-06-17T00:00:00Z,9999-01-01T00:00:00Z,Gravel,"Generally unweathered bouldery till, mixtures of gravel/sand/silt/clay, in well-defined valley moraines."
FALE,50601S001,Forced Centering,Pillar,-2,Reinforced Concrete,2,1999-01-01T00:00:00Z,9999-01-01T00:00:00Z,,
FOX1,,Unmarked Mark,Unknown,0,Reinforced Concrete,0,2019-02-05T00:00:00Z,9999-01-01T00:00:00Z,,concrete block on fast moving 10cm/day landslide
FRTN,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.545,Stainless Steel Rods,10,2011-01-01T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
GDS1,,Unmarked Mark,Unknown,-0.872,Unknown,0,2016-11-16T00:00:00Z,2018-01-16T00:00:00Z,,
GISB,50223M001,Forced Centering,Pillar,-1.225,Reinforced Concrete,2,2002-05-14T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
GLDB,50230M001,Forced Centering,Pillar,-1.325,Reinforced Concrete,2,2004-01-14T00:00:00Z,9999-01-01T00:00:00Z,Schist,
GLOK,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.56,Stainless Steel Rods,10,2017-03-28T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,Sandstone And Mudstone
GNBK,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.43,Stainless Steel Rods,10,2008-03-27T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,"Mapped As Qt, Quaternary Marine Deposits On Coastal Benches.  Forms Flat Terrace Tops Which Are Incised By Waterways."
GRAC,,Forced Centering,Steel Mast,-9.99,Stainless Steel Rod,0,2002-03-22T00:00:00Z,2006-08-28T00:00:00Z,,
GRNG,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.613,Stainless Steel Rods,10,2007-06-14T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
GUNR,,Forced Centering,Shallow Rod / Braced Antenna Mount,-1.195,Stainless Steel Rods,2.5,2010-01-27T00:00:00Z,9999-01-01T00:00:00Z,,site closed in 2018 because on a landslide
HAAS,50237M001,Forced Centering,Pillar,-1.2,Reinforced Concrete,2,2004-06-22T00:00:00Z,9999-01-01T00:00:00Z,Schist,
HAMT,50222M001,Forced Centering,Pillar,-1.38,Reinforced Concrete,2,2003-05-13T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
HANA,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.57,Stainless Steel Rods,10,2007-02-26T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
HANM,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.505,Stainless Steel Rods,10,2014-05-07T00:00:00Z,9999-01-01T00:00:00Z,,
HAST,50221M001,Forced Centering,Pillar,-1.55,Reinforced Concrete,2,2002-09-19T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
HIKB,50225M001,Forced Centering,Pillar,-1.2,Reinforced Concrete,2,2003-05-01T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
HOKI,50211M001,Forced Centering,Pillar,-2,Reinforced Concrete,2,1998-06-01T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
HOLD,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.15,Stainless Steel Rods,10,2007-02-12T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
HORN,,Forced Centering,Pillar,-0.4,Reinforced Concrete,2,2002-11-01T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
HSPA,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.7,Stainless Steel Rods,10,2025-02-26T00:00:00Z,9999-01-01T00:00:00Z,Schist,
IFMA,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2025-03-12T00:00:00Z,9999-01-01T00:00:00Z,Semischist,"Planar-foliated, low-grade psammitic/pelitic semischist, minor low-grade metatuff and metachert, TZIIB."
JTGT,,Forced Centering,Steel Mast,-2.6,Wooden Pier,0,2025-02-20T00:00:00Z,9999-01-01T00:00:00Z,,
KAHU,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2006-04-19T00:00:00Z,9999-01-01T00:00:00Z,Limestone,
KAIK,50231M001,Forced Centering,Pillar,-1.27,Reinforced Concrete,2,2004-01-30T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
KAPT,,Forced Centering,Pillar,-1.275,Reinforced Concrete,2,2004-06-10T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
KARA,,Forced Centering,Pillar,-0.4,Reinforced Concrete,2,2000-02-04T00:00:00Z,9999-01-01T00:00:00Z,Schist,
KAWK,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2010-06-02T00:00:00Z,9999-01-01T00:00:00Z,,
KERE,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2006-05-17T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
KOKO,,Forced Centering,Pillar,-1.308,Reinforced Concrete,2,2004-11-03T00:00:00Z,9999-01-01T00:00:00Z,Limestone,
KORO,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.15,Stainless Steel Rods,10,2007-06-14T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
KTIA,50241M001,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.475,Stainless Steel Rods,10,2007-05-03T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,Drilled Into Silica Sand On Top Of Broad Hill.  Further Down The Hill Are Layered Sediments Including Very Hard Silica Concretions/Lenses.
KUTA,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.499,Stainless Steel Rods,10,2010-04-07T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
LDRZ,50256M001,Forced Centering,Pillar,-1.562,Reinforced Concrete,2,1976-01-01T00:00:00Z,9999-01-01T00:00:00Z,,
LEVN,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.64,Stainless Steel Rods,10,2008-06-30T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
LEXA,50236M001,Forced Centering,Pillar,-1.27,Reinforced Concrete,2,2004-03-18T00:00:00Z,9999-01-01T00:00:00Z,Schist,
LEYL,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.15,Stainless Steel Rods,10,2007-02-19T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
LKTA,50233M001,Forced Centering,Pillar,-1.289,Reinforced Concrete,2,2004-02-01T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
LOK1,,Unmarked Mark,Unknown,-0.899,Unknown,0,2016-11-15T00:00:00Z,2017-11-02T00:00:00Z,,
LOOK,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.592,Stainless Steel Rods,10,2017-03-28T00:00:00Z,9999-01-01T00:00:00Z,Basalt,Lookout Formation - Trachy-Basalt And Andesite Lava Flows With Soil Cover
LRR1,,Forced Centering,Steel Mast,0,Stainless Steel Rod,0,2016-11-15T00:00:00Z,9999-01-01T00:00:00Z,,
LY2T,,Forced Centering,Steel Mast,-2.1,Reinforced Concrete,0,2024-08-22T00:00:00Z,9999-01-01T00:00:00Z,Siltstone,
LYTT,50214S001,Forced Centering,Steel Mast,-3.5,Stainless Steel Rod,0,1999-11-01T00:00:00Z,9999-01-01T00:00:00Z,Siltstone,
MAHA,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.44,Stainless Steel Rods,10,2009-11-16T00:00:00Z,9999-01-01T00:00:00Z,Schist,
MAHI,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2007-02-20T00:00:00Z,9999-01-01T00:00:00Z,Limestone,
MAHO,50229M001,Forced Centering,Pillar,-1.185,Reinforced Concrete,2,2004-02-29T00:00:00Z,9999-01-01T00:00:00Z,Limestone,
MAKO,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.49,Stainless Steel Rods,10,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z,,
MANG,,Forced Centering,Pillar,-1.395,Reinforced Concrete,2,2005-02-03T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
MAST,50220M001,Forced Centering,Pillar,-1.45,Reinforced Concrete,2,2002-12-19T00:00:00Z,2016-06-08T00:00:00Z,Sandstone,
MATW,,Forced Centering,Pillar,-1.38,Reinforced Concrete,2,2004-04-09T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
MAVL,50235M001,Forced Centering,Pillar,-1.2,Reinforced Concrete,2,2004-05-17T00:00:00Z,9999-01-01T00:00:00Z,Basalt,
MCNL,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.507,Stainless Steel Rods,10,2008-05-26T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
METH,50251M001,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.56,Stainless Steel Rods,6,2010-08-01T00:00:00Z,9999-01-01T00:00:00Z,,
MING,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.54,Stainless Steel Rods,10,2010-04-28T00:00:00Z,9999-01-01T00:00:00Z,,
MKNO,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.551,Stainless Steel Rods,10,2011-05-11T00:00:00Z,9999-01-01T00:00:00Z,,
MKP1,,Forced Centering,Steel Mast,-2,Ground Screw,0.5,2025-03-17T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,Landslide deposit
MKP2,,Forced Centering,Steel Mast,-2,Ground Screw,0.5,2025-03-18T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,Landslide deposit
MKTR,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.70,Stainless Steel Rods,10,2025-03-04T00:00:00Z,9999-01-01T00:00:00Z,,
MNHR,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.58,Stainless Steel Rods,10,2011-02-16T00:00:00Z,9999-01-01T00:00:00Z,,
MNMW,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.635,Stainless Steel Rods,10,2023-09-21T00:00:00Z,9999-01-01T00:00:00Z,,
MQZG,50214M001,Forced Centering,Pillar,-0.95,Reinforced Concrete,2,1999-09-27T00:00:00Z,9999-01-01T00:00:00Z,Rhyolite,
MRBL,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2014-06-01T00:00:00Z,9999-01-01T00:00:00Z,,
MTBL,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.483,Stainless Steel Rods,10,2008-03-27T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,"Mapped As Qt, Quaternary Marine Deposits On Coastal Benches.  Forms Flat Terrace Tops Which Are Incised By Waterways."
MTJO,50204M001,Forced Centering,Pillar,-2.4,Reinforced Concrete,2,2000-07-31T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
MTPR,,Forced Centering,Shallow Rod / Braced Antenna Mount,-1.262,Stainless Steel Rods,2.5,2010-01-27T00:00:00Z,9999-01-01T00:00:00Z,,
MTQN,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.51,Stainless Steel Rods,10,2008-06-30T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,Mt Quoin In South Tararuas
MUL1,,Unmarked Mark,Unknown,-0.797,Unknown,0,2016-11-16T00:00:00Z,2018-01-15T00:00:00Z,,
MWOR,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.50,Stainless Steel Rods,10,2024-12-04T00:00:00Z,9999-01-01T00:00:00Z,Breccia,"Laharic breccia of andesite cobbles in a muddy matrix, and conglomerate and sand with interbedded peat."
NETT,,Forced Centering,Pillar,-0.4,Reinforced Concrete,2,2002-02-17T00:00:00Z,9999-01-01T00:00:00Z,,Bedrock Info For This Area Not Available On Geological Map
NIUC,,Forced Centering,Pillar,-9.99,Reinforced Concrete,2,1996-11-13T00:00:00Z,2003-12-31T00:00:00Z,,
NIUM,50210M001,Forced Centering,Shallow Rod / Braced Antenna Mount,-1.5,Stainless Steel Rods,2.5,2005-09-14T00:00:00Z,9999-01-01T00:00:00Z,Limestone,
NLS1,,Not Specified,Unknown,-1,Unknown,0,2011-12-19T00:00:00Z,2013-11-14T00:00:00Z,,
NLS2,,Not Specified,Unknown,-1,Unknown,0,2011-12-20T00:00:00Z,2013-11-14T00:00:00Z,,
NLS3,,Not Specified,Unknown,-0.987,Unknown,0,2022-08-24T04:31:08Z,9999-01-01T00:00:00Z,,
NLS4,,Not Specified,Unknown,-1.296,Unknown,0,2022-08-24T01:22:38Z,9999-01-01T00:00:00Z,,
NLSN,50232M001,Forced Centering,Pillar,-1.31,Reinforced Concrete,2,2004-02-06T00:00:00Z,9999-01-01T00:00:00Z,Basalt,
NMAI,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.43,Stainless Steel Rods,10,2008-02-13T00:00:00Z,9999-01-01T00:00:00Z,Limestone,
NPLY,50227M001,Forced Centering,Pillar,-1.53,Reinforced Concrete,2,2003-03-20T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
NRRD,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.516,Stainless Steel Rods,10,2008-03-27T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,Greywacke
NRSW,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.585,Stainless Steel Rods,10,2011-01-18T00:00:00Z,9999-01-01T00:00:00Z,,
NSFT,,Forced Centering,Steel Mast,-3.65,Reinforced Concrete,0,2024-09-23T00:00:00Z,9999-01-01T00:00:00Z,,
NTGT,,Forced Centering,Steel Mast,-2.59,Reinforced Concrete,0,2024-01-15T00:00:00Z,9999-01-01T00:00:00Z,,
OHIN,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.6,Stainless Steel Rods,10,2008-09-03T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,"Sandstone, Siltstone, Mudstone Sequence."
OKOH,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.56,Stainless Steel Rods,10,2009-11-16T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
OPTK,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.46,Stainless Steel Rods,10,2009-08-20T00:00:00Z,9999-01-01T00:00:00Z,,
OROA,,Forced Centering,Wyatt/Agnew Drilled-Braced,0,Stainless Steel Rods,10,2010-11-08T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
