Mark,Domes Number,Mark Type,Type,Ground Relationship,Foundation Type,Foundation Depth,Start Date,End Date,Bedrock,Geology
ORRG,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2024-12-05T00:00:00Z,9999-01-01T00:00:00Z,Tuff,"Lithic tuff, comprising comminuted pre-volcanic materials with basaltic fragments, and unconsolidated ash and lapilli deposits of well-sorted basalt and basanite fragments."
OTAK,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2007-03-07T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
OUSD,50212M001,Forced Centering,Steel Mast,-1.5,Stainless Steel Rod,0,1995-01-16T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
PAEK,50215M001,Forced Centering,Pillar,-1.315,Reinforced Concrete,2,2002-03-22T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
PAKI,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.4,Stainless Steel Rods,10,2010-06-22T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
PALI,,Forced Centering,Shallow Rod / Braced Antenna Mount,-1.48,Stainless Steel Rods,2.5,2007-02-12T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
PARI,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.54,Stainless Steel Rods,10,2007-02-24T00:00:00Z,9999-01-01T00:00:00Z,Limestone,
PARW,,Forced Centering,Pillar,-1.32,Reinforced Concrete,2,2004-06-10T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
PAWA,,Forced Centering,Pillar,-1.39,Reinforced Concrete,2,2005-01-01T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
PGKH,,Forced Centering,Shallow Rod / Braced Antenna Mount,-1.22,Stainless Steel Rods,2.5,2014-05-08T00:00:00Z,9999-01-01T00:00:00Z,,
PGNE,,Forced Centering,Shallow Rod / Braced Antenna Mount,-1.12,Stainless Steel Rods,2.5,2014-05-08T00:00:00Z,9999-01-01T00:00:00Z,,
PILK,,Forced Centering,Pillar,-0.4,Reinforced Concrete,2,2000-11-03T00:00:00Z,9999-01-01T00:00:00Z,Schist,
PKNO,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.575,Stainless Steel Rods,10,2010-01-01T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
PKTP,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.635,Stainless Steel Rods,10,2024-05-03T00:00:00Z,9999-01-01T00:00:00Z,,
PNUI,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2006-06-29T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
PORA,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.56,Stainless Steel Rods,10,2006-01-31T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
PRTU,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.433,Stainless Steel Rods,10,2009-08-17T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
PTOI,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2006-03-21T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
PUKE,,Forced Centering,Pillar,-1.55,Reinforced Concrete,2,2004-02-16T00:00:00Z,9999-01-01T00:00:00Z,Limestone,
PYGR,50240M001,Forced Centering,Shallow Rod / Braced Antenna Mount,-1.15,Stainless Steel Rods,2.5,2006-12-04T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
QUAR,,Forced Centering,Pillar,-0.6,Reinforced Concrete,2,2000-02-05T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
RAHI,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.55,Stainless Steel Rods,10,2008-05-14T00:00:00Z,9999-01-01T00:00:00Z,Limestone,
RAKW,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.478,Stainless Steel Rods,10,2011-02-16T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
RAUL,,Forced Centering,Shallow Rod / Braced Antenna Mount,-1.457,Stainless Steel Rods,2.5,2009-05-16T00:00:00Z,9999-01-01T00:00:00Z,,
RAUM,,Forced Centering,Wyatt/Agnew Drilled-Braced,0,Stainless Steel Rods,10,2011-05-19T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
RAWI,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.33,Stainless Steel Rods,10,2009-01-01T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,On Ridge Line
RCHD,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.54,Stainless Steel Rods,10,2019-08-27T00:00:00Z,9999-01-01T00:00:00Z,Schist,fractured bedrock
RDLV,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2008-12-01T00:00:00Z,9999-01-01T00:00:00Z,,Quaternary Fluvial Gravels Terrace Or Anticline
RGAR,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2007-11-07T00:00:00Z,9999-01-01T00:00:00Z,Ignimbrite,
RGAW,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.56,Stainless Steel Rods,10,2009-03-24T00:00:00Z,9999-01-01T00:00:00Z,Ignimbrite,Near Broad Ridgeline Next To Stand Of Bushes
RGCR,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.61,Stainless Steel Rods,10,2007-02-12T00:00:00Z,9999-01-01T00:00:00Z,Rhyolite,
RGHD,,Forced Centering,Shallow Rod / Braced Antenna Mount,-1.28,Stainless Steel Rods,2.5,2012-02-01T00:00:00Z,9999-01-01T00:00:00Z,,
RGHL,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2008-12-03T00:00:00Z,9999-01-01T00:00:00Z,Ignimbrite,Site Built On A Ridge Line That Is Adjacent To A Fult Scarp.
RGHR,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.64,Stainless Steel Rods,10,2007-02-07T00:00:00Z,9999-01-01T00:00:00Z,Ignimbrite,
RGKA,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.501,Stainless Steel Rods,10,2006-04-01T00:00:00Z,9999-01-01T00:00:00Z,Ignimbrite,
RGKW,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.54,Stainless Steel Rods,10,2008-11-28T00:00:00Z,9999-01-01T00:00:00Z,,
RGLI,,Forced Centering,Pillar,-1.151,Reinforced Concrete,2,2005-11-15T00:00:00Z,9999-01-01T00:00:00Z,Rhyolite,
RGMK,,Forced Centering,Pillar,-1.34,Reinforced Concrete,2,2004-10-06T00:00:00Z,9999-01-01T00:00:00Z,Rhyolite,
RGMT,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.49,Stainless Steel Rods,10,2007-10-30T00:00:00Z,9999-01-01T00:00:00Z,Ignimbrite,
RGON,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2009-08-25T00:00:00Z,9999-01-01T00:00:00Z,Ignimbrite,On Broad Hill Top
RGOP,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.634,Stainless Steel Rods,10,2007-02-22T00:00:00Z,9999-01-01T00:00:00Z,Rhyolite,
RGRE,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.64,Stainless Steel Rods,10,2007-02-08T00:00:00Z,9999-01-01T00:00:00Z,Rhyolite,
RGRR,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.355,Stainless Steel Rods,10,2007-12-11T00:00:00Z,9999-01-01T00:00:00Z,Ignimbrite,
RGTA,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2007-10-10T00:00:00Z,9999-01-01T00:00:00Z,Rhyolite,
RGUT,,Forced Centering,Pillar,-1.145,Reinforced Concrete,2,2005-12-15T00:00:00Z,9999-01-01T00:00:00Z,Ignimbrite,
RGWC,,Forced Centering,Shallow Rod / Braced Antenna Mount,-1.17,Stainless Steel Rods,2.5,2014-01-29T00:00:00Z,2023-12-01T00:00:00Z,,
RGWI,,Forced Centering,Shallow Rod / Braced Antenna Mount,-1.16,Stainless Steel Rods,2.5,2011-09-27T00:00:00Z,2023-12-01T00:00:00Z,,
RGWV,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2009-09-04T00:00:00Z,9999-01-01T00:00:00Z,Ignimbrite,
RIPA,,Forced Centering,Pillar,-1.6,Reinforced Concrete,2,2004-02-20T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
RLTN,,Forced Centering,Shallow Rod / Braced Antenna Mount,-1.760,Stainless Steel Rods,3.2,2020-03-31T00:00:00Z,9999-01-01T00:00:00Z,Bedrock,Highly Weathered Diorite
SCTB,66071M001,Forced Centering,Pillar,-0.361,Reinforced Concrete,2,2004-10-28T00:00:00Z,9999-01-01T00:00:00Z,,
SCTY,,Forced Centering,Shallow Rod / Braced Antenna Mount,-1.736,Stainless Steel Rods,3.2,2020-03-31T00:00:00Z,9999-01-01T00:00:00Z,Bedrock,Highly Weathered Meta Sedimentary
SEDD,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.53,Stainless Steel Rods,10,2014-06-01T00:00:00Z,9999-01-01T00:00:00Z,,Situated On Quaternary Gravels. Depth To Underlying Strata Unknown.
SMRG,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.6,Stainless Steel Rods,10,2025-03-13T00:00:00Z,9999-01-01T00:00:00Z,Schist,"Prominently planar-foliated, psammitic/pelitic schist"
SNST,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.52,Stainless Steel Rods,10,2009-01-01T00:00:00Z,9999-01-01T00:00:00Z,Mudstone,Top Of Ridge Line Adjacent To Steep Grassy Slope
SSFT,,Forced Centering,Steel Mast,-4.09,Reinforced Concrete,0.5,2024-10-16T00:00:00Z,9999-01-01T00:00:00Z,,
SUTT,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2016-05-26T00:00:00Z,9999-01-01T00:00:00Z,,
TAKL,50216S001,Forced Centering,Pillar,-3.2,Reinforced Concrete,2,2001-07-11T00:00:00Z,2007-07-05T00:00:00Z,,
TAKP,,Forced Centering,Pillar,-1.09,Reinforced Concrete,2,2004-01-14T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
TAUP,50217M001,Forced Centering,Pillar,-1.15,Reinforced Concrete,2,2002-03-22T00:00:00Z,9999-01-01T00:00:00Z,Rhyolite,
TAUW,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.436,Stainless Steel Rods,10,2009-01-01T00:00:00Z,9999-01-01T00:00:00Z,,
TBWT,,Forced Centering,Steel Mast,-2.6,Reinforced Concrete,0.5,2025-02-25T00:00:00Z,9999-01-01T00:00:00Z,,
TEMA,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.15,Stainless Steel Rods,10,2007-02-12T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
TEN2,,Forced Centering,Steel Mast,0,Stainless Steel Rod,0,2016-11-16T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
TENN,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.61,Stainless Steel Rods,10,2017-03-10T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
TGHM,,Forced Centering,Steel Mast,-1.5,Stainless Steel Rod,0,2023-05-25T00:00:00Z,9999-01-01T00:00:00Z,,
TGHO,,Forced Centering,Steel Mast,-0.75,Stainless Steel Rod,0,2008-12-22T00:00:00Z,2023-05-25T00:00:00Z,,
TGHR,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.624,Stainless Steel Rods,10,2006-04-11T00:00:00Z,9999-01-01T00:00:00Z,Ignimbrite,
TGK1,,Forced Centering,Steel Mast,-0.73,Reinforced Concrete,0,2022-12-19T00:00:00Z,9999-01-01T00:00:00Z,,
TGOH,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.55,Stainless Steel Rods,10,2006-04-01T00:00:00Z,9999-01-01T00:00:00Z,Rhyolite,
TGRA,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.62,Stainless Steel Rods,10,2006-04-03T00:00:00Z,9999-01-01T00:00:00Z,Rhyolite,
TGRI,,Forced Centering,Pillar,-1.19,Reinforced Concrete,2,2011-04-04T00:00:00Z,9999-01-01T00:00:00Z,,
TGTK,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.565,Stainless Steel Rods,10,2006-04-01T00:00:00Z,9999-01-01T00:00:00Z,Ignimbrite,
TGWH,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.65,Stainless Steel Rods,10,2007-02-06T00:00:00Z,9999-01-01T00:00:00Z,Rhyolite,
THAP,,Forced Centering,Wyatt/Agnew Drilled-Braced,0,Stainless Steel Rods,10,2008-06-13T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
TINT,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2006-04-05T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
TKAR,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.475,Stainless Steel Rods,10,2010-06-03T00:00:00Z,9999-01-01T00:00:00Z,Limestone,
TKHL,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.495,Stainless Steel Rods,10,2014-05-20T00:00:00Z,9999-01-01T00:00:00Z,,
TORY,,Forced Centering,Pillar,-1.255,Reinforced Concrete,2,2005-04-20T00:00:00Z,9999-01-01T00:00:00Z,Schist,
TRAV,,Forced Centering,Pillar,-1.407,Reinforced Concrete,2,2005-06-23T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
TRNG,50219M001,Forced Centering,Pillar,-1.09,Reinforced Concrete,2,2002-12-17T00:00:00Z,9999-01-01T00:00:00Z,Ignimbrite,
TRWH,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.54,Stainless Steel Rods,10,2010-12-02T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
TURI,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.65,Stainless Steel Rods,10,2011-08-12T00:00:00Z,9999-01-01T00:00:00Z,,
UPKR,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.7,Stainless Steel Rods,10,2025-11-27T00:00:00Z,9999-01-01T00:00:00Z,Gravel,"Multiple beds of unconsolidated andesitic conglomerate and sand, with minor pyroclastic flow deposits."
UTK1,,Not Specified,Steel Mast,-2.2,Stainless Steel Rod,0,2008-07-22T00:00:00Z,9999-01-01T00:00:00Z,,
UTK2,,Not Specified,Steel Mast,-1.7,Stainless Steel Rod,0,2008-07-21T00:00:00Z,9999-01-01T00:00:00Z,,
UTK3,,Not Specified,Steel Mast,-1.7,Stainless Steel Rod,0,2008-07-17T00:00:00Z,9999-01-01T00:00:00Z,,
UTK4,,Not Specified,Steel Mast,-1.7,Stainless Steel Rod,0,2008-07-17T00:00:00Z,9999-01-01T00:00:00Z,,
UTKU,,Forced Centering,Steel Mast,-999,Stainless Steel Rod,0,2008-11-12T00:00:00Z,9999-01-01T00:00:00Z,,
V27B,,Not Specified,Unknown,0,Unknown,0,2011-03-09T00:00:00Z,2013-01-01T00:00:00Z,,
V47B,,Unmarked Mark,Unknown,0,Unknown,0,2011-03-09T00:00:00Z,2017-06-28T00:00:00Z,,
VAVS,,Forced Centering,Steel Mast,-999,Stainless Steel Rod,0,2000-09-20T00:00:00Z,2018-02-11T00:00:00Z,,
VEXA,,Forced Centering,Pillar,-0.4,Reinforced Concrete,2,2000-02-03T00:00:00Z,9999-01-01T00:00:00Z,Schist,
VGDR,,Forced Centering,Pillar,-1.5,Reinforced Concrete,2,2004-04-01T00:00:00Z,9999-01-01T00:00:00Z,,
VGET,,Forced Centering,Shallow Rod / Braced Antenna Mount,-1.16,Stainless Steel Rods,2.5,2014-03-04T00:00:00Z,9999-01-01T00:00:00Z,,
VGFW,,Forced Centering,Pillar,-1.5,Reinforced Concrete,2,2004-03-22T00:00:00Z,9999-01-01T00:00:00Z,Andesite,
VGKR,,Forced Centering,Pillar,-1.17,Reinforced Concrete,2,2004-12-07T00:00:00Z,9999-01-01T00:00:00Z,Andesite,
VGMO,,Forced Centering,Pillar,-1.195,Reinforced Concrete,2,2005-03-31T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
VGMT,50252M001,Forced Centering,Pillar,-1.05,Reinforced Concrete,2,2005-02-01T00:00:00Z,9999-01-01T00:00:00Z,,
VGNG,,Forced Centering,Shallow Rod / Braced Antenna Mount,-1.51,Stainless Steel Rods,2.5,2014-02-25T00:00:00Z,9999-01-01T00:00:00Z,,
VGNT,,Forced Centering,Shallow Rod / Braced Antenna Mount,-1.361,Stainless Steel Rods,2.5,2016-01-14T00:00:00Z,9999-01-01T00:00:00Z,,
VGOB,,Forced Centering,Pillar,-1.136,Reinforced Concrete,2,2004-02-11T00:00:00Z,9999-01-01T00:00:00Z,Andesite,
VGOT,,Forced Centering,Pillar,-1.19,Reinforced Concrete,2,2004-05-16T00:00:00Z,9999-01-01T00:00:00Z,Andesite,
VGPK,,Forced Centering,Pillar,-1.215,Reinforced Concrete,2,2005-01-21T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
VGT2,,Iron Rod,Unknown,0,Unknown,0,2012-07-27T00:00:00Z,2012-08-07T00:00:00Z,,
VGT8,,Iron Rod,Unknown,0,Unknown,0,2013-06-06T00:00:00Z,2016-05-10T00:00:00Z,,
VGTM,,Forced Centering,Shallow Rod / Braced Antenna Mount,-1.27,Stainless Steel Rods,2.5,2012-02-01T00:00:00Z,9999-01-01T00:00:00Z,,
VGTR,,Forced Centering,Pillar,-1.39,Reinforced Concrete,2,2005-03-17T00:00:00Z,9999-01-01T00:00:00Z,Andesite,
VGTS,,Forced Centering,Pillar,-1.555,Reinforced Concrete,2,2005-03-17T00:00:00Z,9999-01-01T00:00:00Z,Andesite,
VGWH,,Forced Centering,Pillar,-1.421,Reinforced Concrete,2,2005-02-25T00:00:00Z,9999-01-01T00:00:00Z,Andesite,
VGWN,,Forced Centering,Pillar,-1.14,Reinforced Concrete,2,2005-05-18T00:00:00Z,9999-01-01T00:00:00Z,Andesite,
VGWT,,Forced Centering,Pillar,-1.345,Reinforced Concrete,2,2004-03-19T00:00:00Z,9999-01-01T00:00:00Z,,
WAHU,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.41,Stainless Steel Rods,10,2009-01-01T00:00:00Z,9999-01-01T00:00:00Z,,Top Of Broad Flat Hill.
WAIM,50239M001,Forced Centering,Pillar,-1.28,Reinforced Concrete,2,2004-12-15T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
WAKA,,Forced Centering,Pillar,-0.4,Reinforced Concrete,2,2000-11-02T00:00:00Z,9999-01-01T00:00:00Z,Schist,
WANG,50228M001,Forced Centering,Pillar,-1.27,Reinforced Concrete,2,2003-04-10T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
WARK,50243M001,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2009-01-01T00:00:00Z,9999-01-01T00:00:00Z,Siltstone,Excavated Flat Bench On Siltstone Bedrock
WEST,50238M001,Forced Centering,Pillar,-1.2,Reinforced Concrete,2,2004-09-22T00:00:00Z,9999-01-01T00:00:00Z,Quartz,
WGTN,50208M003,Forced Centering,Pillar,-0.609,Reinforced Concrete,2,1996-05-17T00:00:00Z,9999-01-01T00:00:00Z,Greywacke,
WGTT,50208S004,Forced Centering,Steel Mast,-999,Stainless Steel Rod,0,1999-12-14T00:00:00Z,9999-01-01T00:00:00Z,,
WHKT,50244M001,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2009-03-23T00:00:00Z,9999-01-01T00:00:00Z,,
WHNG,50218M001,Forced Centering,Pillar,-1.2,Reinforced Concrete,2,2003-04-09T00:00:00Z,9999-01-01T00:00:00Z,Limestone,
WHVR,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.535,Stainless Steel Rods,10,2011-09-30T00:00:00Z,9999-01-01T00:00:00Z,,
WIAH,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.8,Stainless Steel Rods,10,2024-10-09T00:00:00Z,9999-01-01T00:00:00Z,,
WITH,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.505,Stainless Steel Rods,10,2009-11-09T00:00:00Z,9999-01-01T00:00:00Z,,
WMAT,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.42,Stainless Steel Rods,10,2009-01-01T00:00:00Z,9999-01-01T00:00:00Z,,
WPAW,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2006-04-20T00:00:00Z,9999-01-01T00:00:00Z,Sandstone,
WPUK,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.5,Stainless Steel Rods,10,2006-04-19T00:00:00Z,9999-01-01T00:00:00Z,Limestone,
WRA1,,Iron Rod,Unknown,0,Unknown,0,2016-11-15T00:00:00Z,9999-01-01T00:00:00Z,,
WRAU,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.46,Stainless Steel Rods,10,2017-02-12T00:00:00Z,9999-01-01T00:00:00Z,,
WRPA,50220M002,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.495,Stainless Steel Rods,10,2015-12-15T00:00:00Z,9999-01-01T00:00:00Z,,
YALD,,Forced Centering,Wyatt/Agnew Drilled-Braced,-1.61,Stainless Steel Rods,10,2014-09-16T00:00:00Z,9999-01-01T00:00:00Z,,
